totalshoppertraffic_visitors,digital_orders,cust_prospect_ind,visit_device_type,event_dt,rate
352651,1602,All Visitors,Mobile Phone,2/24/19,0.454273489
13,0,CUSTOMER,Gaming Console,2/24/19,0
45918,444,All Visitors,Tablet,2/20/19,0.966941069
55877,223,PROSPECT,All Devices,2/20/19,0.39909086
796812,8041,All Visitors,All Devices,2/20/19,1.009146449
26020,118,PROSPECT,Desktop,2/20/19,0.45349731
24,0,PROSPECT,Gaming Console,2/20/19,0
218535,605,UNDETERMINED,Mobile Phone,2/20/19,0.276843526
162,2,All Visitors,Gaming Console,2/20/19,1.234567901
196671,1235,UNDETERMINED,Desktop,2/20/19,0.627952265
107535,1250,CUSTOMER,Mobile Phone,2/20/19,1.162412238
25169,101,UNDETERMINED,Tablet,2/20/19,0.401287298
440457,1941,UNDETERMINED,All Devices,2/20/19,0.440678659
16598,333,CUSTOMER,Tablet,2/20/19,2.006265815
124,0,UNDETERMINED,Gaming Console,2/20/19,0
301569,5877,CUSTOMER,All Devices,2/20/19,1.948807736
177510,4292,CUSTOMER,Desktop,2/20/19,2.41789195
25639,95,PROSPECT,Mobile Phone,2/20/19,0.370529272
351236,1950,All Visitors,Mobile Phone,2/20/19,0.555182271
14,2,CUSTOMER,Gaming Console,2/20/19,14.28571429
399642,5645,All Visitors,Desktop,2/20/19,1.4125142
4206,10,PROSPECT,Tablet,2/20/19,0.237755587
1,0,UNDETERMINED,E-Reader,2/25/19,0
78615,864,CUSTOMER,Mobile Phone,2/25/19,1.099026903
22099,58,UNDETERMINED,Tablet,2/25/19,0.262455315
417711,1250,UNDETERMINED,All Devices,2/25/19,0.29924996
12712,345,CUSTOMER,Tablet,2/25/19,2.713971051
755,0,UNDETERMINED,Gaming Console,2/25/19,0
249361,5304,CUSTOMER,All Devices,2/25/19,2.127036706
158064,4095,CUSTOMER,Desktop,2/25/19,2.590722745
15417,46,PROSPECT,Mobile Phone,2/25/19,0.298371927
305779,1265,All Visitors,Mobile Phone,2/25/19,0.413697474
11,0,CUSTOMER,Gaming Console,2/25/19,0
358322,5000,All Visitors,Desktop,2/25/19,1.395392971
1,0,All Visitors,E-Reader,2/25/19,0
2415,4,PROSPECT,Tablet,2/25/19,0.16563147
37113,407,All Visitors,Tablet,2/25/19,1.096650769
36643,119,PROSPECT,All Devices,2/25/19,0.324755069
701911,6673,All Visitors,All Devices,2/25/19,0.95069033
18804,68,PROSPECT,Desktop,2/25/19,0.361625186
12,1,PROSPECT,Gaming Console,2/25/19,8.333333333
212441,355,UNDETERMINED,Mobile Phone,2/25/19,0.16710522
778,1,All Visitors,Gaming Console,2/25/19,0.128534704
182449,837,UNDETERMINED,Desktop,2/25/19,0.458758338
48238,485,CUSTOMER,Mobile Phone,2/4/19,1.005431403
29149,179,UNDETERMINED,Tablet,2/4/19,0.614086247
454120,2423,UNDETERMINED,All Devices,2/4/19,0.533559412
7674,175,CUSTOMER,Tablet,2/4/19,2.280427417
97,0,UNDETERMINED,Gaming Console,2/4/19,0
166224,3073,CUSTOMER,All Devices,2/4/19,1.848710174
110329,2413,CUSTOMER,Desktop,2/4/19,2.187094961
11000,60,PROSPECT,Mobile Phone,2/4/19,0.545454545
267604,1168,All Visitors,Mobile Phone,2/4/19,0.436465823
7,0,CUSTOMER,Gaming Console,2/4/19,0
330860,4104,All Visitors,Desktop,2/4/19,1.240403796
1718,6,PROSPECT,Tablet,2/4/19,0.349243306
37896,360,All Visitors,Tablet,2/4/19,0.949968334
26897,137,PROSPECT,All Devices,2/4/19,0.509350485
636388,5633,All Visitors,All Devices,2/4/19,0.885151826
14170,70,PROSPECT,Desktop,2/4/19,0.494001411
13,1,PROSPECT,Gaming Console,2/4/19,7.692307692
213592,623,UNDETERMINED,Mobile Phone,2/4/19,0.291677591
115,1,All Visitors,Gaming Console,2/4/19,0.869565217
211332,1621,UNDETERMINED,Desktop,2/4/19,0.76703954
14675,342,CUSTOMER,Tablet,2/17/19,2.330494037
123,0,UNDETERMINED,Gaming Console,2/17/19,0
199403,3721,CUSTOMER,All Devices,2/17/19,1.86607022
104522,2616,CUSTOMER,Desktop,2/17/19,2.502822372
19692,76,PROSPECT,Mobile Phone,2/17/19,0.38594353
299109,1086,All Visitors,Mobile Phone,2/17/19,0.363078343
12,0,CUSTOMER,Gaming Console,2/17/19,0
260962,3235,All Visitors,Desktop,2/17/19,1.239644086
3693,7,PROSPECT,Tablet,2/17/19,0.189547793
43254,401,All Visitors,Tablet,2/17/19,0.927081888
39630,157,PROSPECT,All Devices,2/17/19,0.396164522
603395,4722,All Visitors,All Devices,2/17/19,0.782571947
16230,74,PROSPECT,Desktop,2/17/19,0.455945779
22,0,PROSPECT,Gaming Console,2/17/19,0
199485,247,UNDETERMINED,Mobile Phone,2/17/19,0.123818833
157,0,All Visitors,Gaming Console,2/17/19,0
140452,545,UNDETERMINED,Desktop,2/17/19,0.388032922
80231,763,CUSTOMER,Mobile Phone,2/17/19,0.951003976
24943,52,UNDETERMINED,Tablet,2/17/19,0.208475324
364962,844,UNDETERMINED,All Devices,2/17/19,0.231256953
259925,3792,All Visitors,Desktop,3/17/19,1.45888237
1,0,All Visitors,E-Reader,3/17/19,0
3474,11,PROSPECT,Tablet,3/17/19,0.316637881
37436,419,All Visitors,Tablet,3/17/19,1.119243509
39836,159,PROSPECT,All Devices,3/17/19,0.399136459
571953,5458,All Visitors,All Devices,3/17/19,0.954274215
14915,72,PROSPECT,Desktop,3/17/19,0.482735501
451,0,PROSPECT,Gaming Console,3/17/19,0
177973,282,UNDETERMINED,Mobile Phone,3/17/19,0.158451001
2390,0,All Visitors,Gaming Console,3/17/19,0
136378,507,UNDETERMINED,Desktop,3/17/19,0.371760841
1,0,UNDETERMINED,E-Reader,3/17/19,0
73535,889,CUSTOMER,Mobile Phone,3/17/19,1.20894812
20290,52,UNDETERMINED,Tablet,3/17/19,0.256283884
336549,841,UNDETERMINED,All Devices,3/17/19,0.249889318
13710,356,CUSTOMER,Tablet,3/17/19,2.596644785
1926,0,UNDETERMINED,Gaming Console,3/17/19,0
196150,4458,CUSTOMER,All Devices,3/17/19,2.272750446
108924,3213,CUSTOMER,Desktop,3/17/19,2.949763138
20998,76,PROSPECT,Mobile Phone,3/17/19,0.361939232
272256,1247,All Visitors,Mobile Phone,3/17/19,0.4580248
13,0,CUSTOMER,Gaming Console,3/17/19,0
631231,5145,All Visitors,All Devices,2/16/19,0.815074038
19629,103,PROSPECT,Desktop,2/16/19,0.524733812
24,0,PROSPECT,Gaming Console,2/16/19,0
196988,257,UNDETERMINED,Mobile Phone,2/16/19,0.1304648
130,2,All Visitors,Gaming Console,2/16/19,1.538461538
143518,612,UNDETERMINED,Desktop,2/16/19,0.426427347
88728,947,CUSTOMER,Mobile Phone,2/16/19,1.067306825
23217,49,UNDETERMINED,Tablet,2/16/19,0.211052246
363779,920,UNDETERMINED,All Devices,2/16/19,0.2529008
15588,374,CUSTOMER,Tablet,2/16/19,2.399281499
92,2,UNDETERMINED,Gaming Console,2/16/19,2.173913043
220569,4048,CUSTOMER,All Devices,2/16/19,1.835253367
116293,2727,CUSTOMER,Desktop,2/16/19,2.344939076
23749,64,PROSPECT,Mobile Phone,2/16/19,0.269485031
309146,1268,All Visitors,Mobile Phone,2/16/19,0.410162189
14,0,CUSTOMER,Gaming Console,2/16/19,0
279123,3442,All Visitors,Desktop,2/16/19,1.23314811
4192,10,PROSPECT,Tablet,2/16/19,0.238549618
42938,433,All Visitors,Tablet,2/16/19,1.008430761
47579,177,PROSPECT,All Devices,2/16/19,0.372012863
3956,10,PROSPECT,Tablet,2/1/19,0.252780586
39403,371,All Visitors,Tablet,2/1/19,0.941552674
46556,217,PROSPECT,All Devices,2/1/19,0.466105336
644248,5735,All Visitors,All Devices,2/1/19,0.890185146
21987,98,PROSPECT,Desktop,2/1/19,0.445717924
20,0,PROSPECT,Gaming Console,2/1/19,0
171096,346,UNDETERMINED,Mobile Phone,2/1/19,0.202225651
114,3,All Visitors,Gaming Console,2/1/19,2.631578947
158023,586,UNDETERMINED,Desktop,2/1/19,0.370832094
79575,833,CUSTOMER,Mobile Phone,2/1/19,1.046811184
21371,40,UNDETERMINED,Tablet,2/1/19,0.187169529
350533,972,UNDETERMINED,All Devices,2/1/19,0.27729201
14111,321,CUSTOMER,Tablet,2/1/19,2.274821062
77,0,UNDETERMINED,Gaming Console,2/1/19,0
247743,4546,CUSTOMER,All Devices,2/1/19,1.834966074
154086,3389,CUSTOMER,Desktop,2/1/19,2.199421103
20600,109,PROSPECT,Mobile Phone,2/1/19,0.529126214
271047,1288,All Visitors,Mobile Phone,2/1/19,0.475194339
17,3,CUSTOMER,Gaming Console,2/1/19,17.64705882
333776,4073,All Visitors,Desktop,2/1/19,1.220279469
347215,695,UNDETERMINED,All Devices,2/2/19,0.200164163
15636,372,CUSTOMER,Tablet,2/2/19,2.379125096
139,0,UNDETERMINED,Gaming Console,2/2/19,0
212136,4288,CUSTOMER,All Devices,2/2/19,2.021344798
113781,2946,CUSTOMER,Desktop,2/2/19,2.589184486
20558,88,PROSPECT,Mobile Phone,2/2/19,0.428057204
289723,1326,All Visitors,Mobile Phone,2/2/19,0.457678541
13,0,CUSTOMER,Gaming Console,2/2/19,0
266785,3398,All Visitors,Desktop,2/2/19,1.273684802
3923,8,PROSPECT,Tablet,2/2/19,0.203925567
44256,430,All Visitors,Tablet,2/2/19,0.971619667
42078,171,PROSPECT,All Devices,2/2/19,0.406388136
600854,5154,All Visitors,All Devices,2/2/19,0.857779094
17583,75,PROSPECT,Desktop,2/2/19,0.426548371
17,0,PROSPECT,Gaming Console,2/2/19,0
186678,268,UNDETERMINED,Mobile Phone,2/2/19,0.143562712
169,0,All Visitors,Gaming Console,2/2/19,0
135686,377,UNDETERMINED,Desktop,2/2/19,0.277847383
82752,970,CUSTOMER,Mobile Phone,2/2/19,1.172177108
24742,50,UNDETERMINED,Tablet,2/2/19,0.202085523
40190,161,PROSPECT,All Devices,2/18/19,0.400597163
682920,6217,All Visitors,All Devices,2/18/19,0.910355532
19964,74,PROSPECT,Desktop,2/18/19,0.370667201
17,1,PROSPECT,Gaming Console,2/18/19,5.882352941
204151,338,UNDETERMINED,Mobile Phone,2/18/19,0.165563725
126,1,All Visitors,Gaming Console,2/18/19,0.793650794
176174,797,UNDETERMINED,Desktop,2/18/19,0.452393656
1,0,UNDETERMINED,E-Reader,2/18/19,0
80245,815,CUSTOMER,Mobile Phone,2/18/19,1.015639604
23521,54,UNDETERMINED,Tablet,2/18/19,0.229582076
403903,1189,UNDETERMINED,All Devices,2/18/19,0.29437761
14472,386,CUSTOMER,Tablet,2/18/19,2.667219458
103,0,UNDETERMINED,Gaming Console,2/18/19,0
241654,4867,CUSTOMER,All Devices,2/18/19,2.014036598
146963,3666,CUSTOMER,Desktop,2/18/19,2.49450542
17265,81,PROSPECT,Mobile Phone,2/18/19,0.469157255
300448,1234,All Visitors,Mobile Phone,2/18/19,0.410719991
7,0,CUSTOMER,Gaming Console,2/18/19,0
341677,4537,All Visitors,Desktop,2/18/19,1.327862279
1,0,All Visitors,E-Reader,2/18/19,0
2954,5,PROSPECT,Tablet,2/18/19,0.169262018
40765,445,All Visitors,Tablet,2/18/19,1.091622716
398737,1031,UNDETERMINED,All Devices,3/14/19,0.258566423
16640,295,CUSTOMER,Tablet,3/14/19,1.772836538
1353,0,UNDETERMINED,Gaming Console,3/14/19,0
300844,5567,CUSTOMER,All Devices,3/14/19,1.850460704
183308,4342,CUSTOMER,Desktop,3/14/19,2.368690946
19984,108,PROSPECT,Mobile Phone,3/14/19,0.540432346
326274,1373,All Visitors,Mobile Phone,3/14/19,0.420811956
15,0,CUSTOMER,Gaming Console,3/14/19,0
375706,5090,All Visitors,Desktop,3/14/19,1.354782729
2847,6,PROSPECT,Tablet,3/14/19,0.210748156
39145,355,All Visitors,Tablet,3/14/19,0.90688466
43769,220,PROSPECT,All Devices,3/14/19,0.502638854
742669,6818,All Visitors,All Devices,3/14/19,0.918040204
20668,106,PROSPECT,Desktop,3/14/19,0.512870137
277,0,PROSPECT,Gaming Console,3/14/19,0
205591,335,UNDETERMINED,Mobile Phone,3/14/19,0.162944876
1645,0,All Visitors,Gaming Console,3/14/19,0
172120,642,UNDETERMINED,Desktop,3/14/19,0.372995584
100942,930,CUSTOMER,Mobile Phone,3/14/19,0.921321155
19702,54,UNDETERMINED,Tablet,3/14/19,0.274083849
118793,3296,CUSTOMER,Desktop,2/9/19,2.774574259
23234,91,PROSPECT,Mobile Phone,2/9/19,0.391667384
323629,1399,All Visitors,Mobile Phone,2/9/19,0.432285117
12,0,CUSTOMER,Gaming Console,2/9/19,0
282655,3766,All Visitors,Desktop,2/9/19,1.332366312
4242,10,PROSPECT,Tablet,2/9/19,0.23573786
46899,487,All Visitors,Tablet,2/9/19,1.038401672
46714,184,PROSPECT,All Devices,2/9/19,0.393886201
653226,5653,All Visitors,All Devices,2/9/19,0.865397274
19224,82,PROSPECT,Desktop,2/9/19,0.426550146
20,1,PROSPECT,Gaming Console,2/9/19,5
208904,287,UNDETERMINED,Mobile Phone,2/9/19,0.137383679
145,1,All Visitors,Gaming Console,2/9/19,0.689655172
144951,388,UNDETERMINED,Desktop,2/9/19,0.267676663
91830,1021,CUSTOMER,Mobile Phone,2/9/19,1.11183709
26137,32,UNDETERMINED,Tablet,2/9/19,0.122431802
380060,707,UNDETERMINED,All Devices,2/9/19,0.186023259
16583,445,CUSTOMER,Tablet,2/9/19,2.683471025
113,0,UNDETERMINED,Gaming Console,2/9/19,0
227168,4762,CUSTOMER,All Devices,2/9/19,2.09624595
16977,122,PROSPECT,Desktop,3/26/19,0.718619308
530,0,PROSPECT,Gaming Console,3/26/19,0
224407,457,UNDETERMINED,Mobile Phone,3/26/19,0.203647836
2189,1,All Visitors,Gaming Console,3/26/19,0.04568296
121250,716,UNDETERMINED,Desktop,3/26/19,0.590515464
94023,781,CUSTOMER,Mobile Phone,3/26/19,0.83064782
20906,94,UNDETERMINED,Tablet,3/26/19,0.449631685
368183,1267,UNDETERMINED,All Devices,3/26/19,0.344122352
13932,296,CUSTOMER,Tablet,3/26/19,2.124605225
1651,0,UNDETERMINED,Gaming Console,3/26/19,0
242763,4744,CUSTOMER,All Devices,3/26/19,1.954169293
134847,3666,CUSTOMER,Desktop,3/26/19,2.718636677
26284,107,PROSPECT,Mobile Phone,3/26/19,0.407091767
342637,1345,All Visitors,Mobile Phone,3/26/19,0.392543712
14,1,CUSTOMER,Gaming Console,3/26/19,7.142857143
272253,4504,All Visitors,Desktop,3/26/19,1.65434357
3336,18,PROSPECT,Tablet,3/26/19,0.539568345
37953,408,All Visitors,Tablet,3/26/19,1.075013833
47120,247,PROSPECT,All Devices,3/26/19,0.524193548
654935,6258,All Visitors,All Devices,3/26/19,0.955514669
3156,5,PROSPECT,Tablet,3/13/19,0.15842839
36165,359,All Visitors,Tablet,3/13/19,0.992672473
47035,180,PROSPECT,All Devices,3/13/19,0.382693739
693097,6563,All Visitors,All Devices,3/13/19,0.946909307
21701,98,PROSPECT,Desktop,3/13/19,0.451592093
232,0,PROSPECT,Gaming Console,3/13/19,0
175752,238,UNDETERMINED,Mobile Phone,3/13/19,0.135418089
1417,0,All Visitors,Gaming Console,3/13/19,0
167040,624,UNDETERMINED,Desktop,3/13/19,0.373563218
99062,1013,CUSTOMER,Mobile Phone,3/13/19,1.022591912
18732,32,UNDETERMINED,Tablet,3/13/19,0.170830664
362682,894,UNDETERMINED,All Devices,3/13/19,0.246496931
14354,322,CUSTOMER,Tablet,3/13/19,2.243277135
1177,0,UNDETERMINED,Gaming Console,3/13/19,0
284791,5489,CUSTOMER,All Devices,3/13/19,1.927378323
171423,4154,CUSTOMER,Desktop,3/13/19,2.423245422
21951,77,PROSPECT,Mobile Phone,3/13/19,0.350781286
296098,1328,All Visitors,Mobile Phone,3/13/19,0.448500159
8,0,CUSTOMER,Gaming Console,3/13/19,0
359499,4876,All Visitors,Desktop,3/13/19,1.356332006
447364,1245,UNDETERMINED,All Devices,2/21/19,0.278296868
16735,362,CUSTOMER,Tablet,2/21/19,2.163131162
197,0,UNDETERMINED,Gaming Console,2/21/19,0
327615,6812,CUSTOMER,All Devices,2/21/19,2.079269875
196099,5207,CUSTOMER,Desktop,2/21/19,2.65529146
28860,133,PROSPECT,Mobile Phone,2/21/19,0.460845461
374096,1779,All Visitors,Mobile Phone,2/21/19,0.475546384
13,0,CUSTOMER,Gaming Console,2/21/19,0
417357,6112,All Visitors,Desktop,2/21/19,1.464453693
4401,5,PROSPECT,Tablet,2/21/19,0.113610543
43744,421,All Visitors,Tablet,2/21/19,0.962417703
61352,255,PROSPECT,All Devices,2/21/19,0.415634372
835134,8312,All Visitors,All Devices,2/21/19,0.995289379
28100,117,PROSPECT,Desktop,2/21/19,0.416370107
20,0,PROSPECT,Gaming Console,2/21/19,0
230827,403,UNDETERMINED,Mobile Phone,2/21/19,0.174589628
230,0,All Visitors,Gaming Console,2/21/19,0
193744,788,UNDETERMINED,Desktop,2/21/19,0.406722273
114936,1243,CUSTOMER,Mobile Phone,2/21/19,1.081471428
22683,54,UNDETERMINED,Tablet,2/21/19,0.238063748
73321,745,CUSTOMER,Mobile Phone,3/18/19,1.016079977
15693,44,UNDETERMINED,Tablet,3/18/19,0.280379787
322119,945,UNDETERMINED,All Devices,3/18/19,0.293369842
12733,317,CUSTOMER,Tablet,3/18/19,2.489593968
1051,0,UNDETERMINED,Gaming Console,3/18/19,0
248378,5008,CUSTOMER,All Devices,3/18/19,2.016281635
162348,3946,CUSTOMER,Desktop,3/18/19,2.430581221
20810,80,PROSPECT,Mobile Phone,3/18/19,0.384430562
239185,1108,All Visitors,Mobile Phone,3/18/19,0.463239752
11,0,CUSTOMER,Gaming Console,3/18/19,0
343875,4660,All Visitors,Desktop,3/18/19,1.355143584
3215,3,PROSPECT,Tablet,3/18/19,0.093312597
31610,364,All Visitors,Tablet,3/18/19,1.151534325
46104,179,PROSPECT,All Devices,3/18/19,0.388252646
616042,6132,All Visitors,All Devices,3/18/19,0.995386678
21709,96,PROSPECT,Desktop,3/18/19,0.442212907
382,0,PROSPECT,Gaming Console,3/18/19,0
145262,283,UNDETERMINED,Mobile Phone,3/18/19,0.194820393
1444,0,All Visitors,Gaming Console,3/18/19,0
160134,618,UNDETERMINED,Desktop,3/18/19,0.385926786
31503,136,PROSPECT,All Devices,3/9/19,0.431704917
559375,5877,All Visitors,All Devices,3/9/19,1.050636872
11646,53,PROSPECT,Desktop,3/9/19,0.455091877
23,1,PROSPECT,Gaming Console,3/9/19,4.347826087
172370,300,UNDETERMINED,Mobile Phone,3/9/19,0.174044207
166,1,All Visitors,Gaming Console,3/9/19,0.602409639
116158,586,UNDETERMINED,Desktop,3/9/19,0.50448527
1,0,UNDETERMINED,E-Reader,3/9/19,0
84348,902,CUSTOMER,Mobile Phone,3/9/19,1.069379238
19680,49,UNDETERMINED,Tablet,3/9/19,0.24898374
308319,935,UNDETERMINED,All Devices,3/9/19,0.303257341
15535,431,CUSTOMER,Tablet,3/9/19,2.774380431
124,0,UNDETERMINED,Gaming Console,3/9/19,0
220092,4806,CUSTOMER,All Devices,3/9/19,2.183632299
120220,3473,CUSTOMER,Desktop,3/9/19,2.888870404
