Visitors,Orders,Customer Type,Device Type,Date,Rate
110329,2413,CUSTOMER,Desktop,2019-02-04,2.187094961
1718,6,PROSPECT,Tablet,2019-02-04,0.34924330600000003
16361,78,PROSPECT,Mobile Phone,2019-02-05,0.476743475
77440,795,CUSTOMER,Mobile Phone,2019-02-05,1.02660124
21429,41,UNDETERMINED,Tablet,2019-02-05,0.19132950699999998
13388,307,CUSTOMER,Tablet,2019-02-05,2.293098297
152234,3558,CUSTOMER,Desktop,2019-02-05,2.337191429
176346,272,UNDETERMINED,Mobile Phone,2019-02-05,0.154242228
18790,82,PROSPECT,Desktop,2019-02-05,0.43640234200000005
2844,4,PROSPECT,Tablet,2019-02-05,0.140646976
160267,556,UNDETERMINED,Desktop,2019-02-05,0.346921075
150209,3329,CUSTOMER,Desktop,2019-02-06,2.216245365
19504,106,PROSPECT,Mobile Phone,2019-02-06,0.543478261
79075,787,CUSTOMER,Mobile Phone,2019-02-06,0.9952576670000001
22085,37,UNDETERMINED,Tablet,2019-02-06,0.167534526
13652,264,CUSTOMER,Tablet,2019-02-06,1.933782596
171252,279,UNDETERMINED,Mobile Phone,2019-02-06,0.162917805
21437,98,PROSPECT,Desktop,2019-02-06,0.45715352
3428,7,PROSPECT,Tablet,2019-02-06,0.2042007
155046,535,UNDETERMINED,Desktop,2019-02-06,0.345058886
14759,309,CUSTOMER,Tablet,2019-02-07,2.09363778
24334,42,UNDETERMINED,Tablet,2019-02-07,0.17259801100000002
93770,998,CUSTOMER,Mobile Phone,2019-02-07,1.064306281
167437,534,UNDETERMINED,Desktop,2019-02-07,0.31892592399999997
199045,314,UNDETERMINED,Mobile Phone,2019-02-07,0.157753272
19949,95,PROSPECT,Desktop,2019-02-07,0.47621434700000004
17452,85,PROSPECT,Mobile Phone,2019-02-07,0.487050195
157491,3927,CUSTOMER,Desktop,2019-02-07,2.4934758180000003
3191,5,PROSPECT,Tablet,2019-02-07,0.15669069300000002
214753,360,UNDETERMINED,Mobile Phone,2019-02-08,0.167634445
153558,3734,CUSTOMER,Desktop,2019-02-08,2.431654489
19641,72,PROSPECT,Desktop,2019-02-08,0.366580113
179007,571,UNDETERMINED,Desktop,2019-02-08,0.318981939
85898,893,CUSTOMER,Mobile Phone,2019-02-08,1.039605113
25157,41,UNDETERMINED,Tablet,2019-02-08,0.16297650800000002
14291,309,CUSTOMER,Tablet,2019-02-08,2.162199986
16263,98,PROSPECT,Mobile Phone,2019-02-08,0.602594847
2802,8,PROSPECT,Tablet,2019-02-08,0.28551035
118793,3296,CUSTOMER,Desktop,2019-02-09,2.7745742589999995
23234,91,PROSPECT,Mobile Phone,2019-02-09,0.391667384
4242,10,PROSPECT,Tablet,2019-02-09,0.23573786
19224,82,PROSPECT,Desktop,2019-02-09,0.426550146
208904,287,UNDETERMINED,Mobile Phone,2019-02-09,0.137383679
144951,388,UNDETERMINED,Desktop,2019-02-09,0.267676663
91830,1021,CUSTOMER,Mobile Phone,2019-02-09,1.11183709
16583,445,CUSTOMER,Tablet,2019-02-09,2.683471025
26137,32,UNDETERMINED,Tablet,2019-02-09,0.12243180199999999
207942,249,UNDETERMINED,Mobile Phone,2019-02-10,0.119744929
18867,86,PROSPECT,Desktop,2019-02-10,0.455822335
24476,87,PROSPECT,Mobile Phone,2019-02-10,0.355450237
140591,353,UNDETERMINED,Desktop,2019-02-10,0.251082928
4433,8,PROSPECT,Tablet,2019-02-10,0.18046469699999998
113659,2910,CUSTOMER,Desktop,2019-02-10,2.56028999
16178,405,CUSTOMER,Tablet,2019-02-10,2.503399679
86474,871,CUSTOMER,Mobile Phone,2019-02-10,1.00723917
25654,47,UNDETERMINED,Tablet,2019-02-10,0.183207297
4135,13,PROSPECT,Tablet,2019-02-11,0.314389359
23133,102,PROSPECT,Desktop,2019-02-11,0.440928544
22494,97,PROSPECT,Mobile Phone,2019-02-11,0.431226105
176326,528,UNDETERMINED,Desktop,2019-02-11,0.299445346
146228,3982,CUSTOMER,Desktop,2019-02-11,2.723144678
13255,288,CUSTOMER,Tablet,2019-02-11,2.172764994
208457,250,UNDETERMINED,Mobile Phone,2019-02-11,0.11992881
24423,41,UNDETERMINED,Tablet,2019-02-11,0.167874544
78626,816,CUSTOMER,Mobile Phone,2019-02-11,1.037824638
22769,42,UNDETERMINED,Tablet,2019-02-12,0.18446132899999998
144775,3911,CUSTOMER,Desktop,2019-02-12,2.701433259
14246,272,CUSTOMER,Tablet,2019-02-12,1.909307876
4297,6,PROSPECT,Tablet,2019-02-12,0.13963230199999999
160759,564,UNDETERMINED,Desktop,2019-02-12,0.350835723
183123,251,UNDETERMINED,Mobile Phone,2019-02-12,0.137066343
21891,91,PROSPECT,Mobile Phone,2019-02-12,0.415695948
22499,96,PROSPECT,Desktop,2019-02-12,0.42668563
88257,810,CUSTOMER,Mobile Phone,2019-02-12,0.917774228
21427,110,PROSPECT,Mobile Phone,2019-02-13,0.513370981
181897,280,UNDETERMINED,Mobile Phone,2019-02-13,0.15393327
3924,16,PROSPECT,Tablet,2019-02-13,0.407747197
152603,3475,CUSTOMER,Desktop,2019-02-13,2.277150515
168143,649,UNDETERMINED,Desktop,2019-02-13,0.38598098
83362,767,CUSTOMER,Mobile Phone,2019-02-13,0.920083491
20899,50,UNDETERMINED,Tablet,2019-02-13,0.23924589699999999
13628,267,CUSTOMER,Tablet,2019-02-13,1.959201644
22727,95,PROSPECT,Desktop,2019-02-13,0.418005016
82352,690,CUSTOMER,Mobile Phone,2019-02-14,0.837866718
157083,576,UNDETERMINED,Desktop,2019-02-14,0.36668512799999997
3754,15,PROSPECT,Tablet,2019-02-14,0.399573788
20957,95,PROSPECT,Mobile Phone,2019-02-14,0.453309157
13313,259,CUSTOMER,Tablet,2019-02-14,1.945466837
22154,90,PROSPECT,Desktop,2019-02-14,0.40624717899999996
19510,29,UNDETERMINED,Tablet,2019-02-14,0.148641722
174687,262,UNDETERMINED,Mobile Phone,2019-02-14,0.14998254
144290,3114,CUSTOMER,Desktop,2019-02-14,2.1581537180000003
14192,341,CUSTOMER,Tablet,2019-02-15,2.40276212
3739,9,PROSPECT,Tablet,2019-02-15,0.24070607100000002
20868,97,PROSPECT,Mobile Phone,2019-02-15,0.464826529
22247,113,PROSPECT,Desktop,2019-02-15,0.507933654
185715,294,UNDETERMINED,Mobile Phone,2019-02-15,0.15830708300000002
159781,554,UNDETERMINED,Desktop,2019-02-15,0.346724579
85510,851,CUSTOMER,Mobile Phone,2019-02-15,0.995205239
20734,59,UNDETERMINED,Tablet,2019-02-15,0.284556767
153677,3289,CUSTOMER,Desktop,2019-02-15,2.1402031530000003
15588,374,CUSTOMER,Tablet,2019-02-16,2.399281499
4192,10,PROSPECT,Tablet,2019-02-16,0.23854961800000002
23749,64,PROSPECT,Mobile Phone,2019-02-16,0.26948503100000004
116293,2727,CUSTOMER,Desktop,2019-02-16,2.3449390759999997
23217,49,UNDETERMINED,Tablet,2019-02-16,0.21105224600000003
88728,947,CUSTOMER,Mobile Phone,2019-02-16,1.067306825
143518,612,UNDETERMINED,Desktop,2019-02-16,0.426427347
196988,257,UNDETERMINED,Mobile Phone,2019-02-16,0.13046480000000002
19629,103,PROSPECT,Desktop,2019-02-16,0.524733812
3693,7,PROSPECT,Tablet,2019-02-17,0.18954779300000002
19692,76,PROSPECT,Mobile Phone,2019-02-17,0.38594353
104522,2616,CUSTOMER,Desktop,2019-02-17,2.502822372
24943,52,UNDETERMINED,Tablet,2019-02-17,0.208475324
140452,545,UNDETERMINED,Desktop,2019-02-17,0.388032922
199485,247,UNDETERMINED,Mobile Phone,2019-02-17,0.123818833
16230,74,PROSPECT,Desktop,2019-02-17,0.455945779
14675,342,CUSTOMER,Tablet,2019-02-17,2.330494037
80231,763,CUSTOMER,Mobile Phone,2019-02-17,0.951003976
80245,815,CUSTOMER,Mobile Phone,2019-02-18,1.015639604
2954,5,PROSPECT,Tablet,2019-02-18,0.16926201800000001
146963,3666,CUSTOMER,Desktop,2019-02-18,2.49450542
14472,386,CUSTOMER,Tablet,2019-02-18,2.667219458
17265,81,PROSPECT,Mobile Phone,2019-02-18,0.469157255
23521,54,UNDETERMINED,Tablet,2019-02-18,0.22958207600000002
204151,338,UNDETERMINED,Mobile Phone,2019-02-18,0.165563725
176174,797,UNDETERMINED,Desktop,2019-02-18,0.45239365600000003
19964,74,PROSPECT,Desktop,2019-02-18,0.370667201
2941,3,PROSPECT,Tablet,2019-02-19,0.10200612
20888,70,UNDETERMINED,Tablet,2019-02-19,0.335120643
89765,730,CUSTOMER,Mobile Phone,2019-02-19,0.813234557
169224,882,UNDETERMINED,Desktop,2019-02-19,0.521202666
18469,66,PROSPECT,Desktop,2019-02-19,0.357355569
181657,330,UNDETERMINED,Mobile Phone,2019-02-19,0.181661043
13915,265,CUSTOMER,Tablet,2019-02-19,1.904419691
150879,3385,CUSTOMER,Desktop,2019-02-19,2.243519642
15405,75,PROSPECT,Mobile Phone,2019-02-19,0.48685491700000005
26020,118,PROSPECT,Desktop,2019-02-20,0.45349731
218535,605,UNDETERMINED,Mobile Phone,2019-02-20,0.276843526
196671,1235,UNDETERMINED,Desktop,2019-02-20,0.627952265
107535,1250,CUSTOMER,Mobile Phone,2019-02-20,1.162412238
25169,101,UNDETERMINED,Tablet,2019-02-20,0.40128729799999996
177510,4292,CUSTOMER,Desktop,2019-02-20,2.41789195
16598,333,CUSTOMER,Tablet,2019-02-20,2.006265815
25639,95,PROSPECT,Mobile Phone,2019-02-20,0.370529272
4206,10,PROSPECT,Tablet,2019-02-20,0.237755587
4401,5,PROSPECT,Tablet,2019-02-21,0.11361054300000001
16735,362,CUSTOMER,Tablet,2019-02-21,2.163131162
196099,5207,CUSTOMER,Desktop,2019-02-21,2.65529146
28860,133,PROSPECT,Mobile Phone,2019-02-21,0.460845461
28100,117,PROSPECT,Desktop,2019-02-21,0.41637010700000004
230827,403,UNDETERMINED,Mobile Phone,2019-02-21,0.174589628
193744,788,UNDETERMINED,Desktop,2019-02-21,0.40672227299999997
114936,1243,CUSTOMER,Mobile Phone,2019-02-21,1.081471428
22683,54,UNDETERMINED,Tablet,2019-02-21,0.23806374800000002
3267,24,PROSPECT,Mobile Phone,2019-02-22,0.734618916
3013,26,PROSPECT,Desktop,2019-02-22,0.862927315
362604,8435,UNDETERMINED,Desktop,2019-02-22,2.326229165
18078,370,CUSTOMER,Desktop,2019-02-22,2.04668658
350355,3463,UNDETERMINED,Mobile Phone,2019-02-22,0.988426025
13225,118,CUSTOMER,Mobile Phone,2019-02-22,0.892249527
41597,609,UNDETERMINED,Tablet,2019-02-22,1.464047888
435,4,PROSPECT,Tablet,2019-02-22,0.91954023
1827,35,CUSTOMER,Tablet,2019-02-22,1.9157088119999999
3512,10,PROSPECT,Tablet,2019-02-23,0.284738041
123318,3552,CUSTOMER,Desktop,2019-02-23,2.880358099
16956,491,CUSTOMER,Tablet,2019-02-23,2.895730125
20276,84,PROSPECT,Mobile Phone,2019-02-23,0.414282896
16210,79,PROSPECT,Desktop,2019-02-23,0.487353486
234022,354,UNDETERMINED,Mobile Phone,2019-02-23,0.15126783
148827,593,UNDETERMINED,Desktop,2019-02-23,0.398449206
101177,1232,CUSTOMER,Mobile Phone,2019-02-23,1.217668047
25279,53,UNDETERMINED,Tablet,2019-02-23,0.209660192
18666,71,PROSPECT,Mobile Phone,2019-02-24,0.380370728
90549,1096,CUSTOMER,Mobile Phone,2019-02-24,1.210394372
27062,58,UNDETERMINED,Tablet,2019-02-24,0.21432266600000002
152059,687,UNDETERMINED,Desktop,2019-02-24,0.451798315
114164,3442,CUSTOMER,Desktop,2019-02-24,3.0149609330000002
16051,412,CUSTOMER,Tablet,2019-02-24,2.566818267
243693,435,UNDETERMINED,Mobile Phone,2019-02-24,0.178503281
14612,51,PROSPECT,Desktop,2019-02-24,0.349028196
3368,6,PROSPECT,Tablet,2019-02-24,0.178147268
15417,46,PROSPECT,Mobile Phone,2019-02-25,0.298371927
78615,864,CUSTOMER,Mobile Phone,2019-02-25,1.099026903
2415,4,PROSPECT,Tablet,2019-02-25,0.16563147
12712,345,CUSTOMER,Tablet,2019-02-25,2.713971051
18804,68,PROSPECT,Desktop,2019-02-25,0.361625186
22099,58,UNDETERMINED,Tablet,2019-02-25,0.262455315
158064,4095,CUSTOMER,Desktop,2019-02-25,2.590722745
182449,837,UNDETERMINED,Desktop,2019-02-25,0.458758338
212441,355,UNDETERMINED,Mobile Phone,2019-02-25,0.16710522
3079,10,PROSPECT,Tablet,2019-02-26,0.324780773
22334,104,PROSPECT,Desktop,2019-02-26,0.46565774200000004
188153,398,UNDETERMINED,Mobile Phone,2019-02-26,0.211529978
98984,925,CUSTOMER,Mobile Phone,2019-02-26,0.934494464
163959,729,UNDETERMINED,Desktop,2019-02-26,0.444623351
23473,119,PROSPECT,Mobile Phone,2019-02-26,0.50696545
18940,47,UNDETERMINED,Tablet,2019-02-26,0.24815205899999998
13496,350,CUSTOMER,Tablet,2019-02-26,2.593360996
161411,3799,CUSTOMER,Desktop,2019-02-26,2.3536190219999997
206058,552,UNDETERMINED,Mobile Phone,2019-02-27,0.267885741
97140,1207,CUSTOMER,Mobile Phone,2019-02-27,1.242536545
20483,59,UNDETERMINED,Tablet,2019-02-27,0.288043744
171731,975,UNDETERMINED,Desktop,2019-02-27,0.567748397
13761,370,CUSTOMER,Tablet,2019-02-27,2.688758084
160627,4469,CUSTOMER,Desktop,2019-02-27,2.782222167
19058,139,PROSPECT,Desktop,2019-02-27,0.729352503
20778,147,PROSPECT,Mobile Phone,2019-02-27,0.707479064
2816,8,PROSPECT,Tablet,2019-02-27,0.284090909
22261,137,PROSPECT,Mobile Phone,2019-02-28,0.6154260810000001
2891,7,PROSPECT,Tablet,2019-02-28,0.242130751
159513,906,UNDETERMINED,Desktop,2019-02-28,0.567978785
17938,122,PROSPECT,Desktop,2019-02-28,0.680120415
83127,899,CUSTOMER,Mobile Phone,2019-02-28,1.081477739
152206,4046,CUSTOMER,Desktop,2019-02-28,2.658239491
12091,310,CUSTOMER,Tablet,2019-02-28,2.563890497
17795,61,UNDETERMINED,Tablet,2019-02-28,0.342792919
172959,431,UNDETERMINED,Mobile Phone,2019-02-28,0.249192005
178163,364,UNDETERMINED,Mobile Phone,2019-03-01,0.204307292
100142,1138,CUSTOMER,Mobile Phone,2019-03-01,1.136386331
21022,137,PROSPECT,Desktop,2019-03-01,0.651698221
3314,14,PROSPECT,Tablet,2019-03-01,0.422450211
148401,743,UNDETERMINED,Desktop,2019-03-01,0.500670481
16156,383,CUSTOMER,Tablet,2019-03-01,2.370636296
173188,4778,CUSTOMER,Desktop,2019-03-01,2.7588516530000002
23633,166,PROSPECT,Mobile Phone,2019-03-01,0.70240765
18099,61,UNDETERMINED,Tablet,2019-03-01,0.337035195
96279,1251,CUSTOMER,Mobile Phone,2019-03-02,1.299348768
131073,3815,CUSTOMER,Desktop,2019-03-02,2.910591808
16990,109,PROSPECT,Desktop,2019-03-02,0.641553855
179557,330,UNDETERMINED,Mobile Phone,2019-03-02,0.18378565
128910,613,UNDETERMINED,Desktop,2019-03-02,0.47552556
3449,12,PROSPECT,Tablet,2019-03-02,0.347926935
20217,56,UNDETERMINED,Tablet,2019-03-02,0.27699460800000003
24743,118,PROSPECT,Mobile Phone,2019-03-02,0.476902558
16966,556,CUSTOMER,Tablet,2019-03-02,3.27714252
123865,3897,CUSTOMER,Desktop,2019-03-03,3.146167198
3524,10,PROSPECT,Tablet,2019-03-03,0.283768445
23754,107,PROSPECT,Mobile Phone,2019-03-03,0.45045045
16631,95,PROSPECT,Desktop,2019-03-03,0.571222416
16062,467,CUSTOMER,Tablet,2019-03-03,2.907483501
86839,1196,CUSTOMER,Mobile Phone,2019-03-03,1.377261369
124930,588,UNDETERMINED,Desktop,2019-03-03,0.47066357200000003
169495,340,UNDETERMINED,Mobile Phone,2019-03-03,0.200595888
19324,47,UNDETERMINED,Tablet,2019-03-03,0.243220865
17209,54,UNDETERMINED,Tablet,2019-03-04,0.313789296
22435,131,PROSPECT,Desktop,2019-03-04,0.583909071
171400,4853,CUSTOMER,Desktop,2019-03-04,2.831388565
13987,372,CUSTOMER,Tablet,2019-03-04,2.659612497
163578,743,UNDETERMINED,Desktop,2019-03-04,0.45421756
83807,999,CUSTOMER,Mobile Phone,2019-03-04,1.1920245329999999
3155,14,PROSPECT,Tablet,2019-03-04,0.443740095
23459,120,PROSPECT,Mobile Phone,2019-03-04,0.511530756
165571,323,UNDETERMINED,Mobile Phone,2019-03-04,0.19508247199999998
20451,99,PROSPECT,Mobile Phone,2019-03-05,0.48408390799999995
162106,4505,CUSTOMER,Desktop,2019-03-05,2.77904581
21460,125,PROSPECT,Desktop,2019-03-05,0.582479031
160405,309,UNDETERMINED,Mobile Phone,2019-03-05,0.192637387
80715,931,CUSTOMER,Mobile Phone,2019-03-05,1.15344112
17879,50,UNDETERMINED,Tablet,2019-03-05,0.279657699
13119,356,CUSTOMER,Tablet,2019-03-05,2.713621465
2817,10,PROSPECT,Tablet,2019-03-05,0.354987575
160582,665,UNDETERMINED,Desktop,2019-03-05,0.41411864299999995
17846,47,UNDETERMINED,Tablet,2019-03-06,0.263364339
81075,933,CUSTOMER,Mobile Phone,2019-03-06,1.1507863090000001
154545,757,UNDETERMINED,Desktop,2019-03-06,0.48982497
156066,316,UNDETERMINED,Mobile Phone,2019-03-06,0.20247843899999998
21619,136,PROSPECT,Desktop,2019-03-06,0.629076275
160509,4624,CUSTOMER,Desktop,2019-03-06,2.880835343
21817,124,PROSPECT,Mobile Phone,2019-03-06,0.56836412
3076,11,PROSPECT,Tablet,2019-03-06,0.357607282
13354,381,CUSTOMER,Tablet,2019-03-06,2.85307773
102523,2480,CUSTOMER,Desktop,2019-03-07,2.418969402
11771,78,PROSPECT,Mobile Phone,2019-03-07,0.662645485
13215,81,PROSPECT,Desktop,2019-03-07,0.612939841
17178,106,UNDETERMINED,Tablet,2019-03-07,0.617068343
7143,149,CUSTOMER,Tablet,2019-03-07,2.085958281
1471,4,PROSPECT,Tablet,2019-03-07,0.271923861
52630,458,CUSTOMER,Mobile Phone,2019-03-07,0.870226107
159627,1610,UNDETERMINED,Desktop,2019-03-07,1.008601302
166757,513,UNDETERMINED,Mobile Phone,2019-03-07,0.307633263
285902,1411,UNDETERMINED,Mobile Phone,2019-03-08,0.493525754
36927,407,UNDETERMINED,Tablet,2019-03-08,1.102174561
351146,5187,UNDETERMINED,Desktop,2019-03-08,1.477163345
2576,2,PROSPECT,Tablet,2019-03-09,0.077639752
17262,80,PROSPECT,Mobile Phone,2019-03-09,0.463445719
120220,3473,CUSTOMER,Desktop,2019-03-09,2.888870404
84348,902,CUSTOMER,Mobile Phone,2019-03-09,1.069379238
15535,431,CUSTOMER,Tablet,2019-03-09,2.7743804310000004
11646,53,PROSPECT,Desktop,2019-03-09,0.45509187700000003
19680,49,UNDETERMINED,Tablet,2019-03-09,0.24898374
172370,300,UNDETERMINED,Mobile Phone,2019-03-09,0.174044207
116158,586,UNDETERMINED,Desktop,2019-03-09,0.50448527
159871,245,UNDETERMINED,Mobile Phone,2019-03-10,0.15324855699999998
80212,880,CUSTOMER,Mobile Phone,2019-03-10,1.097092704
13107,72,PROSPECT,Desktop,2019-03-10,0.549324788
19688,54,UNDETERMINED,Tablet,2019-03-10,0.274278748
21713,82,PROSPECT,Mobile Phone,2019-03-10,0.37765394
111532,544,UNDETERMINED,Desktop,2019-03-10,0.487752394
112555,3033,CUSTOMER,Desktop,2019-03-10,2.6946826
15064,386,CUSTOMER,Tablet,2019-03-10,2.562400425
3290,10,PROSPECT,Tablet,2019-03-10,0.303951368
162171,290,UNDETERMINED,Mobile Phone,2019-03-11,0.178823587
2957,9,PROSPECT,Tablet,2019-03-11,0.30436253
21013,102,PROSPECT,Mobile Phone,2019-03-11,0.48541379100000004
151662,705,UNDETERMINED,Desktop,2019-03-11,0.464849468
78720,809,CUSTOMER,Mobile Phone,2019-03-11,1.027693089
17411,36,UNDETERMINED,Tablet,2019-03-11,0.206765838
13290,326,CUSTOMER,Tablet,2019-03-11,2.45297216
163301,3991,CUSTOMER,Desktop,2019-03-11,2.443953191
19228,123,PROSPECT,Desktop,2019-03-11,0.639692116
3107,14,PROSPECT,Tablet,2019-03-12,0.45059543
13030,291,CUSTOMER,Tablet,2019-03-12,2.233307751
161097,3820,CUSTOMER,Desktop,2019-03-12,2.371242171
21400,90,PROSPECT,Mobile Phone,2019-03-12,0.420560748
77045,767,CUSTOMER,Mobile Phone,2019-03-12,0.995522097
20966,103,PROSPECT,Desktop,2019-03-12,0.49127158299999996
172380,304,UNDETERMINED,Mobile Phone,2019-03-12,0.176354565
170359,651,UNDETERMINED,Desktop,2019-03-12,0.382134199
17273,69,UNDETERMINED,Tablet,2019-03-12,0.399467377
3156,5,PROSPECT,Tablet,2019-03-13,0.15842839
14354,322,CUSTOMER,Tablet,2019-03-13,2.243277135
21951,77,PROSPECT,Mobile Phone,2019-03-13,0.350781286
171423,4154,CUSTOMER,Desktop,2019-03-13,2.423245422
21701,98,PROSPECT,Desktop,2019-03-13,0.45159209299999997
175752,238,UNDETERMINED,Mobile Phone,2019-03-13,0.135418089
167040,624,UNDETERMINED,Desktop,2019-03-13,0.373563218
18732,32,UNDETERMINED,Tablet,2019-03-13,0.170830664
99062,1013,CUSTOMER,Mobile Phone,2019-03-13,1.022591912
16640,295,CUSTOMER,Tablet,2019-03-14,1.7728365380000002
183308,4342,CUSTOMER,Desktop,2019-03-14,2.368690946
19984,108,PROSPECT,Mobile Phone,2019-03-14,0.540432346
2847,6,PROSPECT,Tablet,2019-03-14,0.21074815600000002
20668,106,PROSPECT,Desktop,2019-03-14,0.5128701370000001
205591,335,UNDETERMINED,Mobile Phone,2019-03-14,0.162944876
172120,642,UNDETERMINED,Desktop,2019-03-14,0.372995584
100942,930,CUSTOMER,Mobile Phone,2019-03-14,0.921321155
19702,54,UNDETERMINED,Tablet,2019-03-14,0.274083849
17123,103,PROSPECT,Desktop,2019-03-15,0.601530106
2491,12,PROSPECT,Tablet,2019-03-15,0.48173424299999995
165910,340,UNDETERMINED,Mobile Phone,2019-03-15,0.204930384
16411,96,PROSPECT,Mobile Phone,2019-03-15,0.584973493
164170,4061,CUSTOMER,Desktop,2019-03-15,2.4736553569999997
14116,322,CUSTOMER,Tablet,2019-03-15,2.281099462
18670,50,UNDETERMINED,Tablet,2019-03-15,0.26780932
79729,876,CUSTOMER,Mobile Phone,2019-03-15,1.0987219209999999
162931,600,UNDETERMINED,Desktop,2019-03-15,0.368254046
135771,505,UNDETERMINED,Desktop,2019-03-16,0.371949827
169425,255,UNDETERMINED,Mobile Phone,2019-03-16,0.150509075
79729,936,CUSTOMER,Mobile Phone,2019-03-16,1.173976847
14494,405,CUSTOMER,Tablet,2019-03-16,2.794259694
118499,3364,CUSTOMER,Desktop,2019-03-16,2.8388425219999998
21711,91,PROSPECT,Mobile Phone,2019-03-16,0.41914237
20986,56,UNDETERMINED,Tablet,2019-03-16,0.26684456300000003
15337,95,PROSPECT,Desktop,2019-03-16,0.6194170960000001
3358,6,PROSPECT,Tablet,2019-03-16,0.17867778399999998
136378,507,UNDETERMINED,Desktop,2019-03-17,0.371760841
14915,72,PROSPECT,Desktop,2019-03-17,0.482735501
177973,282,UNDETERMINED,Mobile Phone,2019-03-17,0.158451001
73535,889,CUSTOMER,Mobile Phone,2019-03-17,1.20894812
13710,356,CUSTOMER,Tablet,2019-03-17,2.596644785
108924,3213,CUSTOMER,Desktop,2019-03-17,2.9497631380000002
20998,76,PROSPECT,Mobile Phone,2019-03-17,0.36193923200000006
3474,11,PROSPECT,Tablet,2019-03-17,0.316637881
20290,52,UNDETERMINED,Tablet,2019-03-17,0.25628388399999996
160134,618,UNDETERMINED,Desktop,2019-03-18,0.385926786
73321,745,CUSTOMER,Mobile Phone,2019-03-18,1.016079977
12733,317,CUSTOMER,Tablet,2019-03-18,2.4895939680000003
162348,3946,CUSTOMER,Desktop,2019-03-18,2.4305812209999997
15693,44,UNDETERMINED,Tablet,2019-03-18,0.280379787
145262,283,UNDETERMINED,Mobile Phone,2019-03-18,0.194820393
21709,96,PROSPECT,Desktop,2019-03-18,0.44221290700000004
3215,3,PROSPECT,Tablet,2019-03-18,0.093312597
20810,80,PROSPECT,Mobile Phone,2019-03-18,0.38443056200000003
155500,750,UNDETERMINED,Desktop,2019-03-19,0.48231511299999996
160420,4151,CUSTOMER,Desktop,2019-03-19,2.587582596
13839,317,CUSTOMER,Tablet,2019-03-19,2.290627936
15456,67,UNDETERMINED,Tablet,2019-03-19,0.43348861299999997
84161,688,CUSTOMER,Mobile Phone,2019-03-19,0.817480781
137946,342,UNDETERMINED,Mobile Phone,2019-03-19,0.24792310000000004
3071,8,PROSPECT,Tablet,2019-03-19,0.260501465
20201,88,PROSPECT,Mobile Phone,2019-03-19,0.435621999
19697,110,PROSPECT,Desktop,2019-03-19,0.558460679
196609,424,UNDETERMINED,Mobile Phone,2019-03-20,0.215656455
124472,600,UNDETERMINED,Desktop,2019-03-20,0.48203612100000004
108307,806,CUSTOMER,Mobile Phone,2019-03-20,0.744180893
15881,96,PROSPECT,Desktop,2019-03-20,0.604495939
18891,91,UNDETERMINED,Tablet,2019-03-20,0.48171086799999996
141595,3892,CUSTOMER,Desktop,2019-03-20,2.7486846289999995
20153,84,PROSPECT,Mobile Phone,2019-03-20,0.416811393
15423,361,CUSTOMER,Tablet,2019-03-20,2.340660053
