visitors,orders,customer_type,device_type,date,
15102,303,CUSTOMER,Tablet,3/29/2019,0.020063568
2255,0,UNDETERMINED,Gaming Console,3/29/2019,0
140633,3591,CUSTOMER,Desktop,3/29/2019,0.025534547
21094,103,PROSPECT,Mobile Phone,3/29/2019,0.004882905
12,0,CUSTOMER,Gaming Console,3/29/2019,0
2675,7,PROSPECT,Tablet,3/29/2019,0.002616822
13312,69,PROSPECT,Desktop,3/29/2019,0.005183293
619,0,PROSPECT,Gaming Console,3/29/2019,0
264810,460,UNDETERMINED,Mobile Phone,3/29/2019,0.001737095
113833,527,UNDETERMINED,Desktop,3/29/2019,0.004629589
108682,937,CUSTOMER,Mobile Phone,3/29/2019,0.008621483
23803,63,UNDETERMINED,Tablet,3/29/2019,0.002646725
435,4,PROSPECT,Tablet,2/22/2019,0.009195402
3013,26,PROSPECT,Desktop,2/22/2019,0.008629273
2,0,PROSPECT,Gaming Console,2/22/2019,0
350355,3463,UNDETERMINED,Mobile Phone,2/22/2019,0.00988426
362604,8435,UNDETERMINED,Desktop,2/22/2019,0.023262292
13225,118,CUSTOMER,Mobile Phone,2/22/2019,0.008922495
41597,609,UNDETERMINED,Tablet,2/22/2019,0.014640479
1827,35,CUSTOMER,Tablet,2/22/2019,0.019157088
373,0,UNDETERMINED,Gaming Console,2/22/2019,0
18078,370,CUSTOMER,Desktop,2/22/2019,0.020466866
3267,24,PROSPECT,Mobile Phone,2/22/2019,0.007346189
3368,6,PROSPECT,Tablet,2/24/2019,0.001781473
14612,51,PROSPECT,Desktop,2/24/2019,0.003490282
16,0,PROSPECT,Gaming Console,2/24/2019,0
243693,435,UNDETERMINED,Mobile Phone,2/24/2019,0.001785033
152059,687,UNDETERMINED,Desktop,2/24/2019,0.004517983
90549,1096,CUSTOMER,Mobile Phone,2/24/2019,0.012103944
27062,58,UNDETERMINED,Tablet,2/24/2019,0.002143227
16051,412,CUSTOMER,Tablet,2/24/2019,0.025668183
361,1,UNDETERMINED,Gaming Console,2/24/2019,0.002770083
114164,3442,CUSTOMER,Desktop,2/24/2019,0.030149609
18666,71,PROSPECT,Mobile Phone,2/24/2019,0.003803707
13,0,CUSTOMER,Gaming Console,2/24/2019,0
26020,118,PROSPECT,Desktop,2/20/2019,0.004534973
24,0,PROSPECT,Gaming Console,2/20/2019,0
218535,605,UNDETERMINED,Mobile Phone,2/20/2019,0.002768435
196671,1235,UNDETERMINED,Desktop,2/20/2019,0.006279523
107535,1250,CUSTOMER,Mobile Phone,2/20/2019,0.011624122
25169,101,UNDETERMINED,Tablet,2/20/2019,0.004012873
16598,333,CUSTOMER,Tablet,2/20/2019,0.020062658
124,0,UNDETERMINED,Gaming Console,2/20/2019,0
177510,4292,CUSTOMER,Desktop,2/20/2019,0.024178919
25639,95,PROSPECT,Mobile Phone,2/20/2019,0.003705293
14,2,CUSTOMER,Gaming Console,2/20/2019,0.142857143
4206,10,PROSPECT,Tablet,2/20/2019,0.002377556
78615,864,CUSTOMER,Mobile Phone,2/25/2019,0.010990269
22099,58,UNDETERMINED,Tablet,2/25/2019,0.002624553
12712,345,CUSTOMER,Tablet,2/25/2019,0.027139711
755,0,UNDETERMINED,Gaming Console,2/25/2019,0
158064,4095,CUSTOMER,Desktop,2/25/2019,0.025907227
15417,46,PROSPECT,Mobile Phone,2/25/2019,0.002983719
11,0,CUSTOMER,Gaming Console,2/25/2019,0
2415,4,PROSPECT,Tablet,2/25/2019,0.001656315
18804,68,PROSPECT,Desktop,2/25/2019,0.003616252
12,1,PROSPECT,Gaming Console,2/25/2019,0.083333333
212441,355,UNDETERMINED,Mobile Phone,2/25/2019,0.001671052
182449,837,UNDETERMINED,Desktop,2/25/2019,0.004587583
48238,485,CUSTOMER,Mobile Phone,2/4/2019,0.010054314
29149,179,UNDETERMINED,Tablet,2/4/2019,0.006140862
7674,175,CUSTOMER,Tablet,2/4/2019,0.022804274
97,0,UNDETERMINED,Gaming Console,2/4/2019,0
110329,2413,CUSTOMER,Desktop,2/4/2019,0.02187095
11000,60,PROSPECT,Mobile Phone,2/4/2019,0.005454545
7,0,CUSTOMER,Gaming Console,2/4/2019,0
1718,6,PROSPECT,Tablet,2/4/2019,0.003492433
14170,70,PROSPECT,Desktop,2/4/2019,0.004940014
13,1,PROSPECT,Gaming Console,2/4/2019,0.076923077
213592,623,UNDETERMINED,Mobile Phone,2/4/2019,0.002916776
211332,1621,UNDETERMINED,Desktop,2/4/2019,0.007670395
14675,342,CUSTOMER,Tablet,2/17/2019,0.02330494
123,0,UNDETERMINED,Gaming Console,2/17/2019,0
104522,2616,CUSTOMER,Desktop,2/17/2019,0.025028224
19692,76,PROSPECT,Mobile Phone,2/17/2019,0.003859435
12,0,CUSTOMER,Gaming Console,2/17/2019,0
3693,7,PROSPECT,Tablet,2/17/2019,0.001895478
16230,74,PROSPECT,Desktop,2/17/2019,0.004559458
22,0,PROSPECT,Gaming Console,2/17/2019,0
199485,247,UNDETERMINED,Mobile Phone,2/17/2019,0.001238188
140452,545,UNDETERMINED,Desktop,2/17/2019,0.003880329
80231,763,CUSTOMER,Mobile Phone,2/17/2019,0.00951004
24943,52,UNDETERMINED,Tablet,2/17/2019,0.002084753
3474,11,PROSPECT,Tablet,3/17/2019,0.003166379
14915,72,PROSPECT,Desktop,3/17/2019,0.004827355
451,0,PROSPECT,Gaming Console,3/17/2019,0
177973,282,UNDETERMINED,Mobile Phone,3/17/2019,0.00158451
136378,507,UNDETERMINED,Desktop,3/17/2019,0.003717608
73535,889,CUSTOMER,Mobile Phone,3/17/2019,0.012089481
20290,52,UNDETERMINED,Tablet,3/17/2019,0.002562839
13710,356,CUSTOMER,Tablet,3/17/2019,0.025966448
1926,0,UNDETERMINED,Gaming Console,3/17/2019,0
108924,3213,CUSTOMER,Desktop,3/17/2019,0.029497631
20998,76,PROSPECT,Mobile Phone,3/17/2019,0.003619392
13,0,CUSTOMER,Gaming Console,3/17/2019,0
19629,103,PROSPECT,Desktop,2/16/2019,0.005247338
24,0,PROSPECT,Gaming Console,2/16/2019,0
196988,257,UNDETERMINED,Mobile Phone,2/16/2019,0.001304648
143518,612,UNDETERMINED,Desktop,2/16/2019,0.004264273
88728,947,CUSTOMER,Mobile Phone,2/16/2019,0.010673068
23217,49,UNDETERMINED,Tablet,2/16/2019,0.002110522
15588,374,CUSTOMER,Tablet,2/16/2019,0.023992815
92,2,UNDETERMINED,Gaming Console,2/16/2019,0.02173913
116293,2727,CUSTOMER,Desktop,2/16/2019,0.023449391
23749,64,PROSPECT,Mobile Phone,2/16/2019,0.00269485
14,0,CUSTOMER,Gaming Console,2/16/2019,0
4192,10,PROSPECT,Tablet,2/16/2019,0.002385496
3956,10,PROSPECT,Tablet,2/1/2019,0.002527806
21987,98,PROSPECT,Desktop,2/1/2019,0.004457179
20,0,PROSPECT,Gaming Console,2/1/2019,0
171096,346,UNDETERMINED,Mobile Phone,2/1/2019,0.002022257
158023,586,UNDETERMINED,Desktop,2/1/2019,0.003708321
79575,833,CUSTOMER,Mobile Phone,2/1/2019,0.010468112
21371,40,UNDETERMINED,Tablet,2/1/2019,0.001871695
14111,321,CUSTOMER,Tablet,2/1/2019,0.022748211
77,0,UNDETERMINED,Gaming Console,2/1/2019,0
154086,3389,CUSTOMER,Desktop,2/1/2019,0.021994211
20600,109,PROSPECT,Mobile Phone,2/1/2019,0.005291262
17,3,CUSTOMER,Gaming Console,2/1/2019,0.176470588
15636,372,CUSTOMER,Tablet,2/2/2019,0.023791251
139,0,UNDETERMINED,Gaming Console,2/2/2019,0
113781,2946,CUSTOMER,Desktop,2/2/2019,0.025891845
20558,88,PROSPECT,Mobile Phone,2/2/2019,0.004280572
13,0,CUSTOMER,Gaming Console,2/2/2019,0
3923,8,PROSPECT,Tablet,2/2/2019,0.002039256
17583,75,PROSPECT,Desktop,2/2/2019,0.004265484
17,0,PROSPECT,Gaming Console,2/2/2019,0
186678,268,UNDETERMINED,Mobile Phone,2/2/2019,0.001435627
135686,377,UNDETERMINED,Desktop,2/2/2019,0.002778474
82752,970,CUSTOMER,Mobile Phone,2/2/2019,0.011721771
24742,50,UNDETERMINED,Tablet,2/2/2019,0.002020855
19964,74,PROSPECT,Desktop,2/18/2019,0.003706672
17,1,PROSPECT,Gaming Console,2/18/2019,0.058823529
204151,338,UNDETERMINED,Mobile Phone,2/18/2019,0.001655637
176174,797,UNDETERMINED,Desktop,2/18/2019,0.004523937
80245,815,CUSTOMER,Mobile Phone,2/18/2019,0.010156396
23521,54,UNDETERMINED,Tablet,2/18/2019,0.002295821
14472,386,CUSTOMER,Tablet,2/18/2019,0.026672195
103,0,UNDETERMINED,Gaming Console,2/18/2019,0
146963,3666,CUSTOMER,Desktop,2/18/2019,0.024945054
17265,81,PROSPECT,Mobile Phone,2/18/2019,0.004691573
7,0,CUSTOMER,Gaming Console,2/18/2019,0
2954,5,PROSPECT,Tablet,2/18/2019,0.00169262
16640,295,CUSTOMER,Tablet,3/14/2019,0.017728365
1353,0,UNDETERMINED,Gaming Console,3/14/2019,0
183308,4342,CUSTOMER,Desktop,3/14/2019,0.023686909
19984,108,PROSPECT,Mobile Phone,3/14/2019,0.005404323
15,0,CUSTOMER,Gaming Console,3/14/2019,0
2847,6,PROSPECT,Tablet,3/14/2019,0.002107482
20668,106,PROSPECT,Desktop,3/14/2019,0.005128701
277,0,PROSPECT,Gaming Console,3/14/2019,0
205591,335,UNDETERMINED,Mobile Phone,3/14/2019,0.001629449
172120,642,UNDETERMINED,Desktop,3/14/2019,0.003729956
100942,930,CUSTOMER,Mobile Phone,3/14/2019,0.009213212
19702,54,UNDETERMINED,Tablet,3/14/2019,0.002740838
118793,3296,CUSTOMER,Desktop,2/9/2019,0.027745743
23234,91,PROSPECT,Mobile Phone,2/9/2019,0.003916674
12,0,CUSTOMER,Gaming Console,2/9/2019,0
4242,10,PROSPECT,Tablet,2/9/2019,0.002357379
19224,82,PROSPECT,Desktop,2/9/2019,0.004265501
20,1,PROSPECT,Gaming Console,2/9/2019,0.05
208904,287,UNDETERMINED,Mobile Phone,2/9/2019,0.001373837
144951,388,UNDETERMINED,Desktop,2/9/2019,0.002676767
91830,1021,CUSTOMER,Mobile Phone,2/9/2019,0.011118371
26137,32,UNDETERMINED,Tablet,2/9/2019,0.001224318
16583,445,CUSTOMER,Tablet,2/9/2019,0.02683471
113,0,UNDETERMINED,Gaming Console,2/9/2019,0
16977,122,PROSPECT,Desktop,3/26/2019,0.007186193
530,0,PROSPECT,Gaming Console,3/26/2019,0
224407,457,UNDETERMINED,Mobile Phone,3/26/2019,0.002036478
121250,716,UNDETERMINED,Desktop,3/26/2019,0.005905155
94023,781,CUSTOMER,Mobile Phone,3/26/2019,0.008306478
20906,94,UNDETERMINED,Tablet,3/26/2019,0.004496317
13932,296,CUSTOMER,Tablet,3/26/2019,0.021246052
1651,0,UNDETERMINED,Gaming Console,3/26/2019,0
134847,3666,CUSTOMER,Desktop,3/26/2019,0.027186367
26284,107,PROSPECT,Mobile Phone,3/26/2019,0.004070918
14,1,CUSTOMER,Gaming Console,3/26/2019,0.071428571
3336,18,PROSPECT,Tablet,3/26/2019,0.005395683
3156,5,PROSPECT,Tablet,3/13/2019,0.001584284
21701,98,PROSPECT,Desktop,3/13/2019,0.004515921
232,0,PROSPECT,Gaming Console,3/13/2019,0
175752,238,UNDETERMINED,Mobile Phone,3/13/2019,0.001354181
167040,624,UNDETERMINED,Desktop,3/13/2019,0.003735632
99062,1013,CUSTOMER,Mobile Phone,3/13/2019,0.010225919
18732,32,UNDETERMINED,Tablet,3/13/2019,0.001708307
14354,322,CUSTOMER,Tablet,3/13/2019,0.022432771
1177,0,UNDETERMINED,Gaming Console,3/13/2019,0
171423,4154,CUSTOMER,Desktop,3/13/2019,0.024232454
21951,77,PROSPECT,Mobile Phone,3/13/2019,0.003507813
8,0,CUSTOMER,Gaming Console,3/13/2019,0
16735,362,CUSTOMER,Tablet,2/21/2019,0.021631312
197,0,UNDETERMINED,Gaming Console,2/21/2019,0
196099,5207,CUSTOMER,Desktop,2/21/2019,0.026552915
28860,133,PROSPECT,Mobile Phone,2/21/2019,0.004608455
13,0,CUSTOMER,Gaming Console,2/21/2019,0
4401,5,PROSPECT,Tablet,2/21/2019,0.001136105
28100,117,PROSPECT,Desktop,2/21/2019,0.004163701
20,0,PROSPECT,Gaming Console,2/21/2019,0
230827,403,UNDETERMINED,Mobile Phone,2/21/2019,0.001745896
193744,788,UNDETERMINED,Desktop,2/21/2019,0.004067223
114936,1243,CUSTOMER,Mobile Phone,2/21/2019,0.010814714
22683,54,UNDETERMINED,Tablet,2/21/2019,0.002380637
73321,745,CUSTOMER,Mobile Phone,3/18/2019,0.0101608
15693,44,UNDETERMINED,Tablet,3/18/2019,0.002803798
12733,317,CUSTOMER,Tablet,3/18/2019,0.02489594
1051,0,UNDETERMINED,Gaming Console,3/18/2019,0
162348,3946,CUSTOMER,Desktop,3/18/2019,0.024305812
20810,80,PROSPECT,Mobile Phone,3/18/2019,0.003844306
11,0,CUSTOMER,Gaming Console,3/18/2019,0
3215,3,PROSPECT,Tablet,3/18/2019,0.000933126
21709,96,PROSPECT,Desktop,3/18/2019,0.004422129
382,0,PROSPECT,Gaming Console,3/18/2019,0
145262,283,UNDETERMINED,Mobile Phone,3/18/2019,0.001948204
160134,618,UNDETERMINED,Desktop,3/18/2019,0.003859268
11646,53,PROSPECT,Desktop,3/9/2019,0.004550919
23,1,PROSPECT,Gaming Console,3/9/2019,0.043478261
172370,300,UNDETERMINED,Mobile Phone,3/9/2019,0.001740442
116158,586,UNDETERMINED,Desktop,3/9/2019,0.005044853
84348,902,CUSTOMER,Mobile Phone,3/9/2019,0.010693792
19680,49,UNDETERMINED,Tablet,3/9/2019,0.002489837
15535,431,CUSTOMER,Tablet,3/9/2019,0.027743804
124,0,UNDETERMINED,Gaming Console,3/9/2019,0
120220,3473,CUSTOMER,Desktop,3/9/2019,0.028888704
17262,80,PROSPECT,Mobile Phone,3/9/2019,0.004634457
19,0,CUSTOMER,Gaming Console,3/9/2019,0
2576,2,PROSPECT,Tablet,3/9/2019,0.000776398
18,0,PROSPECT,Gaming Console,2/12/2019,0
183123,251,UNDETERMINED,Mobile Phone,2/12/2019,0.001370663
160759,564,UNDETERMINED,Desktop,2/12/2019,0.003508357
88257,810,CUSTOMER,Mobile Phone,2/12/2019,0.009177742
22769,42,UNDETERMINED,Tablet,2/12/2019,0.001844613
14246,272,CUSTOMER,Tablet,2/12/2019,0.019093079
103,0,UNDETERMINED,Gaming Console,2/12/2019,0
144775,3911,CUSTOMER,Desktop,2/12/2019,0.027014333
21891,91,PROSPECT,Mobile Phone,2/12/2019,0.004156959
6,0,CUSTOMER,Gaming Console,2/12/2019,0
4297,6,PROSPECT,Tablet,2/12/2019,0.001396323
22499,96,PROSPECT,Desktop,2/12/2019,0.004266856
25279,53,UNDETERMINED,Tablet,2/23/2019,0.002096602
16956,491,CUSTOMER,Tablet,2/23/2019,0.028957301
443,0,UNDETERMINED,Gaming Console,2/23/2019,0
123318,3552,CUSTOMER,Desktop,2/23/2019,0.028803581
20276,84,PROSPECT,Mobile Phone,2/23/2019,0.004142829
10,0,CUSTOMER,Gaming Console,2/23/2019,0
3512,10,PROSPECT,Tablet,2/23/2019,0.00284738
16210,79,PROSPECT,Desktop,2/23/2019,0.004873535
13,0,PROSPECT,Gaming Console,2/23/2019,0
234022,354,UNDETERMINED,Mobile Phone,2/23/2019,0.001512678
148827,593,UNDETERMINED,Desktop,2/23/2019,0.003984492
101177,1232,CUSTOMER,Mobile Phone,2/23/2019,0.01217668
1103,0,UNDETERMINED,Gaming Console,3/6/2019,0
160509,4624,CUSTOMER,Desktop,3/6/2019,0.028808353
21817,124,PROSPECT,Mobile Phone,3/6/2019,0.005683641
13,1,CUSTOMER,Gaming Console,3/6/2019,0.076923077
3076,11,PROSPECT,Tablet,3/6/2019,0.003576073
21619,136,PROSPECT,Desktop,3/6/2019,0.006290763
182,1,PROSPECT,Gaming Console,3/6/2019,0.005494505
156066,316,UNDETERMINED,Mobile Phone,3/6/2019,0.002024784
154545,757,UNDETERMINED,Desktop,3/6/2019,0.00489825
81075,933,CUSTOMER,Mobile Phone,3/6/2019,0.011507863
17846,47,UNDETERMINED,Tablet,3/6/2019,0.002633643
13354,381,CUSTOMER,Tablet,3/6/2019,0.028530777
16201,409,CUSTOMER,Tablet,3/31/2019,0.025245355
2313,0,UNDETERMINED,Gaming Console,3/31/2019,0
96786,2983,CUSTOMER,Desktop,3/31/2019,0.030820573
24417,80,PROSPECT,Mobile Phone,3/31/2019,0.003276406
19,0,CUSTOMER,Gaming Console,3/31/2019,0
3235,7,PROSPECT,Tablet,3/31/2019,0.002163833
10148,70,PROSPECT,Desktop,3/31/2019,0.006897911
813,0,PROSPECT,Gaming Console,3/31/2019,0
242940,420,UNDETERMINED,Mobile Phone,3/31/2019,0.001728822
85958,407,UNDETERMINED,Desktop,3/31/2019,0.004734871
94933,980,CUSTOMER,Mobile Phone,3/31/2019,0.01032307
22765,91,UNDETERMINED,Tablet,3/31/2019,0.003997364
179007,571,UNDETERMINED,Desktop,2/8/2019,0.003189819
85898,893,CUSTOMER,Mobile Phone,2/8/2019,0.010396051
25157,41,UNDETERMINED,Tablet,2/8/2019,0.001629765
14291,309,CUSTOMER,Tablet,2/8/2019,0.021622
115,1,UNDETERMINED,Gaming Console,2/8/2019,0.008695652
153558,3734,CUSTOMER,Desktop,2/8/2019,0.024316545
16263,98,PROSPECT,Mobile Phone,2/8/2019,0.006025948
14,0,CUSTOMER,Gaming Console,2/8/2019,0
2802,8,PROSPECT,Tablet,2/8/2019,0.002855103
19641,72,PROSPECT,Desktop,2/8/2019,0.003665801
16,1,PROSPECT,Gaming Console,2/8/2019,0.0625
214753,360,UNDETERMINED,Mobile Phone,2/8/2019,0.001676344
553,0,PROSPECT,Gaming Console,3/24/2019,0
223721,317,UNDETERMINED,Mobile Phone,3/24/2019,0.001416943
79655,316,UNDETERMINED,Desktop,3/24/2019,0.003967108
92998,825,CUSTOMER,Mobile Phone,3/24/2019,0.008871159
23377,61,UNDETERMINED,Tablet,3/24/2019,0.002609402
15487,414,CUSTOMER,Tablet,3/24/2019,0.026732098
1793,0,UNDETERMINED,Gaming Console,3/24/2019,0
86970,2756,CUSTOMER,Desktop,3/24/2019,0.031689088
28092,112,PROSPECT,Mobile Phone,3/24/2019,0.0039869
15,0,CUSTOMER,Gaming Console,3/24/2019,0
3773,8,PROSPECT,Tablet,3/24/2019,0.002120329
11502,64,PROSPECT,Desktop,3/24/2019,0.00556425
83,0,PROSPECT,Gaming Console,3/3/2019,0
169495,340,UNDETERMINED,Mobile Phone,3/3/2019,0.002005959
124930,588,UNDETERMINED,Desktop,3/3/2019,0.004706636
86839,1196,CUSTOMER,Mobile Phone,3/3/2019,0.013772614
19324,47,UNDETERMINED,Tablet,3/3/2019,0.002432209
16062,467,CUSTOMER,Tablet,3/3/2019,0.029074835
626,0,UNDETERMINED,Gaming Console,3/3/2019,0
123865,3897,CUSTOMER,Desktop,3/3/2019,0.031461672
23754,107,PROSPECT,Mobile Phone,3/3/2019,0.004504505
12,0,CUSTOMER,Gaming Console,3/3/2019,0
3524,10,PROSPECT,Tablet,3/3/2019,0.002837684
16631,95,PROSPECT,Desktop,3/3/2019,0.005712224
207942,249,UNDETERMINED,Mobile Phone,2/10/2019,0.001197449
140591,353,UNDETERMINED,Desktop,2/10/2019,0.002510829
86474,871,CUSTOMER,Mobile Phone,2/10/2019,0.010072392
25654,47,UNDETERMINED,Tablet,2/10/2019,0.001832073
16178,405,CUSTOMER,Tablet,2/10/2019,0.025033997
236,0,UNDETERMINED,Gaming Console,2/10/2019,0
113659,2910,CUSTOMER,Desktop,2/10/2019,0.0256029
24476,87,PROSPECT,Mobile Phone,2/10/2019,0.003554502
10,1,CUSTOMER,Gaming Console,2/10/2019,0.1
4433,8,PROSPECT,Tablet,2/10/2019,0.001804647
18867,86,PROSPECT,Desktop,2/10/2019,0.004558223
17,0,PROSPECT,Gaming Console,2/10/2019,0
19228,123,PROSPECT,Desktop,3/11/2019,0.006396921
33,0,PROSPECT,Gaming Console,3/11/2019,0
162171,290,UNDETERMINED,Mobile Phone,3/11/2019,0.001788236
151662,705,UNDETERMINED,Desktop,3/11/2019,0.004648495
78720,809,CUSTOMER,Mobile Phone,3/11/2019,0.010276931
17411,36,UNDETERMINED,Tablet,3/11/2019,0.002067658
13290,326,CUSTOMER,Tablet,3/11/2019,0.024529722
64,2,UNDETERMINED,Gaming Console,3/11/2019,0.03125
163301,3991,CUSTOMER,Desktop,3/11/2019,0.024439532
21013,102,PROSPECT,Mobile Phone,3/11/2019,0.004854138
11,0,CUSTOMER,Gaming Console,3/11/2019,0
2957,9,PROSPECT,Tablet,3/11/2019,0.003043625
2844,4,PROSPECT,Tablet,2/5/2019,0.00140647
18790,82,PROSPECT,Desktop,2/5/2019,0.004364023
17,0,PROSPECT,Gaming Console,2/5/2019,0
176346,272,UNDETERMINED,Mobile Phone,2/5/2019,0.001542422
160267,556,UNDETERMINED,Desktop,2/5/2019,0.003469211
77440,795,CUSTOMER,Mobile Phone,2/5/2019,0.010266012
21429,41,UNDETERMINED,Tablet,2/5/2019,0.001913295
13388,307,CUSTOMER,Tablet,2/5/2019,0.022930983
85,0,UNDETERMINED,Gaming Console,2/5/2019,0
152234,3558,CUSTOMER,Desktop,2/5/2019,0.023371914
16361,78,PROSPECT,Mobile Phone,2/5/2019,0.004767435
9,0,CUSTOMER,Gaming Console,2/5/2019,0
79729,936,CUSTOMER,Mobile Phone,3/16/2019,0.011739768
20986,56,UNDETERMINED,Tablet,3/16/2019,0.002668446
14494,405,CUSTOMER,Tablet,3/16/2019,0.027942597
1690,0,UNDETERMINED,Gaming Console,3/16/2019,0
118499,3364,CUSTOMER,Desktop,3/16/2019,0.028388425
21711,91,PROSPECT,Mobile Phone,3/16/2019,0.004191424
22,0,CUSTOMER,Gaming Console,3/16/2019,0
3358,6,PROSPECT,Tablet,3/16/2019,0.001786778
15337,95,PROSPECT,Desktop,3/16/2019,0.006194171
313,0,PROSPECT,Gaming Console,3/16/2019,0
169425,255,UNDETERMINED,Mobile Phone,3/16/2019,0.001505091
135771,505,UNDETERMINED,Desktop,3/16/2019,0.003719498
15064,386,CUSTOMER,Tablet,3/10/2019,0.025624004
114,2,UNDETERMINED,Gaming Console,3/10/2019,0.01754386
112555,3033,CUSTOMER,Desktop,3/10/2019,0.026946826
21713,82,PROSPECT,Mobile Phone,3/10/2019,0.003776539
9,0,CUSTOMER,Gaming Console,3/10/2019,0
3290,10,PROSPECT,Tablet,3/10/2019,0.003039514
13107,72,PROSPECT,Desktop,3/10/2019,0.005493248
40,0,PROSPECT,Gaming Console,3/10/2019,0
159871,245,UNDETERMINED,Mobile Phone,3/10/2019,0.001532486
111532,544,UNDETERMINED,Desktop,3/10/2019,0.004877524
80212,880,CUSTOMER,Mobile Phone,3/10/2019,0.010970927
19688,54,UNDETERMINED,Tablet,3/10/2019,0.002742787
131073,3815,CUSTOMER,Desktop,3/2/2019,0.029105918
24743,118,PROSPECT,Mobile Phone,3/2/2019,0.004769026
20,0,CUSTOMER,Gaming Console,3/2/2019,0
3449,12,PROSPECT,Tablet,3/2/2019,0.003479269
16990,109,PROSPECT,Desktop,3/2/2019,0.006415539
55,2,PROSPECT,Gaming Console,3/2/2019,0.036363636
179557,330,UNDETERMINED,Mobile Phone,3/2/2019,0.001837857
128910,613,UNDETERMINED,Desktop,3/2/2019,0.004755256
96279,1251,CUSTOMER,Mobile Phone,3/2/2019,0.012993488
20217,56,UNDETERMINED,Tablet,3/2/2019,0.002769946
16966,556,CUSTOMER,Tablet,3/2/2019,0.032771425
402,0,UNDETERMINED,Gaming Console,3/2/2019,0
11,0,CUSTOMER,Gaming Console,2/7/2019,0
3191,5,PROSPECT,Tablet,2/7/2019,0.001566907
19949,95,PROSPECT,Desktop,2/7/2019,0.004762143
16,1,PROSPECT,Gaming Console,2/7/2019,0.0625
199045,314,UNDETERMINED,Mobile Phone,2/7/2019,0.001577533
167437,534,UNDETERMINED,Desktop,2/7/2019,0.003189259
93770,998,CUSTOMER,Mobile Phone,2/7/2019,0.010643063
24334,42,UNDETERMINED,Tablet,2/7/2019,0.00172598
14759,309,CUSTOMER,Tablet,2/7/2019,0.020936378
115,2,UNDETERMINED,Gaming Console,2/7/2019,0.017391304
157491,3927,CUSTOMER,Desktop,2/7/2019,0.024934758
17452,85,PROSPECT,Mobile Phone,2/7/2019,0.004870502
20201,88,PROSPECT,Mobile Phone,3/19/2019,0.00435622
10,1,CUSTOMER,Gaming Console,3/19/2019,0.1
